timestamp,trace_id,supi,nf,event_type,result,detail
2026-07-06T00:00:25.702,6480d4803d,imsi-999706122807694,amf,REGISTRATION_REQUEST,OK,
2026-07-06T00:00:25.729,6480d4803d,imsi-999706122807694,ausf,AUTHENTICATION,OK,
2026-07-06T00:00:25.744,6480d4803d,imsi-999706122807694,amf,REGISTRATION,OK,
2026-07-06T00:00:25.910,6480d4803d,imsi-999706122807694,smf,PDU_SESSION,OK,10.45.0.139
2026-07-06T00:02:01.738,012495f063,imsi-999703333177336,amf,REGISTRATION_REQUEST,OK,
2026-07-06T00:02:01.761,012495f063,imsi-999703333177336,ausf,AUTHENTICATION,OK,
2026-07-06T00:02:01.798,012495f063,imsi-999703333177336,amf,REGISTRATION,OK,
2026-07-06T00:02:01.983,012495f063,imsi-999703333177336,smf,PDU_SESSION,OK,10.45.0.156
2026-07-06T00:04:58.245,a9b64abb8c,imsi-999703872617683,amf,REGISTRATION_REQUEST,OK,
2026-07-06T00:04:58.262,a9b64abb8c,imsi-999703872617683,ausf,AUTHENTICATION,OK,
2026-07-06T00:04:58.293,a9b64abb8c,imsi-999703872617683,amf,REGISTRATION,OK,
2026-07-06T00:04:58.464,a9b64abb8c,imsi-999703872617683,smf,PDU_SESSION,OK,10.45.0.108
2026-07-06T00:05:08.039,70ecdba2c8,imsi-999701806545816,amf,REGISTRATION_REQUEST,OK,
2026-07-06T00:05:08.057,70ecdba2c8,imsi-999701806545816,ausf,AUTHENTICATION,OK,
2026-07-06T00:05:08.091,70ecdba2c8,imsi-999701806545816,amf,REGISTRATION,OK,
2026-07-06T00:05:08.170,70ecdba2c8,imsi-999701806545816,smf,PDU_SESSION,OK,10.45.0.133
2026-07-06T00:07:49.459,a8caf61243,imsi-999704804642810,amf,REGISTRATION_REQUEST,OK,
2026-07-06T00:07:49.469,a8caf61243,imsi-999704804642810,ausf,AUTHENTICATION,OK,
2026-07-06T00:07:49.508,a8caf61243,imsi-999704804642810,amf,REGISTRATION,OK,
2026-07-06T00:07:49.703,a8caf61243,imsi-999704804642810,smf,PDU_SESSION,OK,10.45.0.185
2026-07-06T00:09:06.462,23935e4915,imsi-999703251173421,amf,REGISTRATION_REQUEST,OK,
2026-07-06T00:09:06.481,23935e4915,imsi-999703251173421,ausf,AUTHENTICATION,OK,
2026-07-06T00:09:06.518,23935e4915,imsi-999703251173421,amf,REGISTRATION,OK,
2026-07-06T00:09:06.588,23935e4915,imsi-999703251173421,smf,PDU_SESSION,OK,10.45.0.129
2026-07-06T00:13:05.090,027819610b,imsi-999707258710596,amf,REGISTRATION_REQUEST,OK,
2026-07-06T00:13:05.110,027819610b,imsi-999707258710596,ausf,AUTHENTICATION,OK,
2026-07-06T00:13:05.128,027819610b,imsi-999707258710596,amf,REGISTRATION,OK,
2026-07-06T00:13:05.265,027819610b,imsi-999707258710596,smf,PDU_SESSION,OK,10.45.0.208
2026-07-06T00:18:02.776,ec0b0251d4,imsi-999708440085424,amf,REGISTRATION_REQUEST,OK,
2026-07-06T00:18:02.785,ec0b0251d4,imsi-999708440085424,ausf,AUTHENTICATION,OK,
2026-07-06T00:18:02.797,ec0b0251d4,imsi-999708440085424,amf,REGISTRATION,OK,
2026-07-06T00:18:02.875,ec0b0251d4,imsi-999708440085424,smf,PDU_SESSION,OK,10.45.0.20
2026-07-06T00:18:48.267,6d8a8a264f,imsi-999708812359727,amf,REGISTRATION_REQUEST,OK,
2026-07-06T00:18:48.275,6d8a8a264f,imsi-999708812359727,ausf,AUTHENTICATION,OK,
2026-07-06T00:18:48.307,6d8a8a264f,imsi-999708812359727,amf,REGISTRATION,OK,
2026-07-06T00:18:48.465,6d8a8a264f,imsi-999708812359727,smf,PDU_SESSION,OK,10.45.0.89
2026-07-06T00:18:48.751,226890cdd8,imsi-999709761940064,amf,REGISTRATION_REQUEST,OK,
2026-07-06T00:18:48.759,226890cdd8,imsi-999709761940064,ausf,AUTHENTICATION,OK,
2026-07-06T00:18:48.794,226890cdd8,imsi-999709761940064,amf,REGISTRATION,OK,
2026-07-06T00:18:48.852,226890cdd8,imsi-999709761940064,smf,PDU_SESSION,OK,10.45.0.221
2026-07-06T00:20:15.323,c4fcc0a056,imsi-999708957394625,amf,REGISTRATION_REQUEST,OK,
2026-07-06T00:20:15.337,c4fcc0a056,imsi-999708957394625,ausf,AUTHENTICATION,OK,
2026-07-06T00:20:15.369,c4fcc0a056,imsi-999708957394625,amf,REGISTRATION,OK,
2026-07-06T00:20:15.533,c4fcc0a056,imsi-999708957394625,smf,PDU_SESSION,OK,10.45.0.68
2026-07-06T00:23:19.801,891daff2ca,imsi-999700118782506,amf,REGISTRATION_REQUEST,OK,
2026-07-06T00:23:19.831,891daff2ca,imsi-999700118782506,ausf,AUTHENTICATION,OK,
2026-07-06T00:23:19.870,891daff2ca,imsi-999700118782506,amf,REGISTRATION,OK,
2026-07-06T00:23:19.994,891daff2ca,imsi-999700118782506,smf,PDU_SESSION,OK,10.45.0.200
2026-07-06T00:29:19.176,06d26ca3e1,imsi-999706449685143,amf,REGISTRATION_REQUEST,OK,
2026-07-06T00:29:19.186,06d26ca3e1,imsi-999706449685143,ausf,AUTHENTICATION,OK,
2026-07-06T00:29:19.206,06d26ca3e1,imsi-999706449685143,amf,REGISTRATION,OK,
2026-07-06T00:29:19.369,06d26ca3e1,imsi-999706449685143,smf,PDU_SESSION,OK,10.45.0.14
2026-07-06T00:30:01.067,49ecdeb8a1,imsi-999709166909555,amf,REGISTRATION_REQUEST,OK,
2026-07-06T00:30:01.085,49ecdeb8a1,imsi-999709166909555,ausf,AUTHENTICATION,OK,
2026-07-06T00:30:01.099,49ecdeb8a1,imsi-999709166909555,amf,REGISTRATION,OK,
2026-07-06T00:30:01.175,49ecdeb8a1,imsi-999709166909555,smf,PDU_SESSION,OK,10.45.0.134
2026-07-06T00:30:35.502,332667d4f0,imsi-999702038075795,amf,REGISTRATION_REQUEST,OK,
2026-07-06T00:30:35.513,332667d4f0,imsi-999702038075795,ausf,AUTHENTICATION,OK,
2026-07-06T00:30:35.544,332667d4f0,imsi-999702038075795,amf,REGISTRATION,OK,
2026-07-06T00:30:35.597,332667d4f0,imsi-999702038075795,smf,PDU_SESSION,OK,10.45.0.126
2026-07-06T00:32:12.098,08d170ee7c,imsi-999701253042720,amf,REGISTRATION_REQUEST,OK,
2026-07-06T00:32:12.127,08d170ee7c,imsi-999701253042720,ausf,AUTHENTICATION,OK,
2026-07-06T00:32:12.144,08d170ee7c,imsi-999701253042720,amf,REGISTRATION,OK,
2026-07-06T00:32:12.194,08d170ee7c,imsi-999701253042720,smf,PDU_SESSION,OK,10.45.0.15
2026-07-06T00:33:35.202,b0a85c56c1,imsi-999709187524158,amf,REGISTRATION_REQUEST,OK,
2026-07-06T00:33:35.220,b0a85c56c1,imsi-999709187524158,ausf,AUTHENTICATION,OK,
2026-07-06T00:33:35.246,b0a85c56c1,imsi-999709187524158,amf,REGISTRATION,OK,
2026-07-06T00:33:35.319,b0a85c56c1,imsi-999709187524158,smf,PDU_SESSION,OK,10.45.0.18
2026-07-06T00:41:39.950,911a15ae9d,imsi-999700870266838,amf,REGISTRATION_REQUEST,OK,
2026-07-06T00:41:39.971,911a15ae9d,imsi-999700870266838,ausf,AUTHENTICATION,OK,
2026-07-06T00:41:39.994,911a15ae9d,imsi-999700870266838,amf,REGISTRATION,OK,
2026-07-06T00:41:40.183,911a15ae9d,imsi-999700870266838,smf,PDU_SESSION,OK,10.45.0.167
2026-07-06T00:44:16.454,3acdbf6346,imsi-999706488048736,amf,REGISTRATION_REQUEST,OK,
2026-07-06T00:44:16.474,3acdbf6346,imsi-999706488048736,ausf,AUTHENTICATION,OK,
2026-07-06T00:44:16.507,3acdbf6346,imsi-999706488048736,amf,REGISTRATION,OK,
2026-07-06T00:44:16.598,3acdbf6346,imsi-999706488048736,smf,PDU_SESSION,OK,10.45.0.109
2026-07-06T00:47:10.567,4d4104d1d7,imsi-999705750380729,amf,REGISTRATION_REQUEST,OK,
2026-07-06T00:47:10.582,4d4104d1d7,imsi-999705750380729,ausf,AUTHENTICATION,OK,
2026-07-06T00:47:10.604,4d4104d1d7,imsi-999705750380729,amf,REGISTRATION,OK,
2026-07-06T00:47:10.721,4d4104d1d7,imsi-999705750380729,smf,PDU_SESSION,OK,10.45.0.12
2026-07-06T00:48:15.655,4b75cd3b88,imsi-999703972127981,amf,REGISTRATION_REQUEST,OK,
2026-07-06T00:48:15.669,4b75cd3b88,imsi-999703972127981,ausf,AUTHENTICATION,OK,
2026-07-06T00:48:15.683,4b75cd3b88,imsi-999703972127981,amf,REGISTRATION,OK,
2026-07-06T00:48:15.848,4b75cd3b88,imsi-999703972127981,smf,PDU_SESSION,FAIL,
2026-07-06T00:49:19.083,e264e98c72,imsi-999700928879330,amf,REGISTRATION_REQUEST,OK,
2026-07-06T00:49:19.109,e264e98c72,imsi-999700928879330,ausf,AUTHENTICATION,OK,
2026-07-06T00:49:19.136,e264e98c72,imsi-999700928879330,amf,REGISTRATION,OK,
2026-07-06T00:49:19.310,e264e98c72,imsi-999700928879330,smf,PDU_SESSION,OK,10.45.0.177
2026-07-06T00:49:54.562,41e2053c1b,imsi-999701770617830,amf,REGISTRATION_REQUEST,OK,
2026-07-06T00:49:54.587,41e2053c1b,imsi-999701770617830,ausf,AUTHENTICATION,OK,
2026-07-06T00:49:54.611,41e2053c1b,imsi-999701770617830,amf,REGISTRATION,OK,
2026-07-06T00:49:54.807,41e2053c1b,imsi-999701770617830,smf,PDU_SESSION,OK,10.45.0.213
2026-07-06T00:50:03.439,19f6e7c11e,imsi-999701233237725,amf,REGISTRATION_REQUEST,OK,
2026-07-06T00:50:03.451,19f6e7c11e,imsi-999701233237725,ausf,AUTHENTICATION,OK,
2026-07-06T00:50:03.465,19f6e7c11e,imsi-999701233237725,amf,REGISTRATION,OK,
2026-07-06T00:50:03.530,19f6e7c11e,imsi-999701233237725,smf,PDU_SESSION,OK,10.45.0.184
2026-07-06T00:50:18.475,6cefd6e5d2,imsi-999708125045667,amf,REGISTRATION_REQUEST,OK,
2026-07-06T00:50:18.501,6cefd6e5d2,imsi-999708125045667,ausf,AUTHENTICATION,OK,
2026-07-06T00:50:18.528,6cefd6e5d2,imsi-999708125045667,amf,REGISTRATION,OK,
2026-07-06T00:50:18.586,6cefd6e5d2,imsi-999708125045667,smf,PDU_SESSION,OK,10.45.0.6
2026-07-06T00:55:29.909,8240b950c2,imsi-999709175444834,amf,REGISTRATION_REQUEST,OK,
2026-07-06T00:55:29.930,8240b950c2,imsi-999709175444834,ausf,AUTHENTICATION,OK,
2026-07-06T00:55:29.940,8240b950c2,imsi-999709175444834,amf,REGISTRATION,OK,
2026-07-06T00:55:30.116,8240b950c2,imsi-999709175444834,smf,PDU_SESSION,OK,10.45.0.222
2026-07-06T01:05:19.992,fa9c5e81ea,imsi-999700015590042,amf,REGISTRATION_REQUEST,OK,
2026-07-06T01:05:20.006,fa9c5e81ea,imsi-999700015590042,ausf,AUTHENTICATION,OK,
2026-07-06T01:05:20.019,fa9c5e81ea,imsi-999700015590042,amf,REGISTRATION,OK,
2026-07-06T01:05:20.125,fa9c5e81ea,imsi-999700015590042,smf,PDU_SESSION,OK,10.45.0.129
2026-07-06T01:08:05.646,a5e2fc7bb2,imsi-999700701098963,amf,REGISTRATION_REQUEST,OK,
2026-07-06T01:08:05.669,a5e2fc7bb2,imsi-999700701098963,ausf,AUTHENTICATION,OK,
2026-07-06T01:08:05.685,a5e2fc7bb2,imsi-999700701098963,amf,REGISTRATION,OK,
