rop_start,registration_sr_pct,auth_sr_pct,pdu_session_creation_sr_pct,active_pdu_sessions,registration_attempts
2026-07-06T00:00:00,99.45,100.0,99.86,641,725
2026-07-06T00:15:00,99.41,99.7,99.4,979,677
2026-07-06T00:30:00,96.73,99.84,98.95,1098,612
2026-07-06T00:45:00,96.73,99.18,99.71,1286,734
2026-07-06T01:00:00,99.08,99.54,99.53,1346,654
2026-07-06T01:15:00,99.63,99.63,99.81,1274,541
2026-07-06T01:30:00,98.81,99.66,99.29,1265,587
2026-07-06T01:45:00,99.23,99.62,99.03,1217,520
2026-07-06T02:00:00,99.16,99.37,99.79,1150,476
2026-07-06T02:15:00,99.21,99.48,99.45,1014,381
2026-07-06T02:30:00,98.88,99.55,99.3,990,445
2026-07-06T02:45:00,99.25,99.25,99.49,942,400
2026-07-06T03:00:00,99.04,99.76,99.75,919,415
2026-07-06T03:15:00,99.01,99.8,99.18,984,506
2026-07-06T03:30:00,99.35,99.78,99.77,986,459
2026-07-06T03:45:00,99.78,100.0,99.32,985,449
2026-07-06T04:00:00,98.73,99.58,99.34,999,472
2026-07-06T04:15:00,99.57,99.79,99.78,1010,470
2026-07-06T04:30:00,100.0,100.0,99.57,1021,475
2026-07-06T04:45:00,98.87,99.77,99.76,993,444
2026-07-06T05:00:00,99.25,99.44,99.61,1058,532
2026-07-06T05:15:00,99.43,100.0,99.42,1097,527
2026-07-06T05:30:00,99.53,100.0,100.0,1026,426
2026-07-06T05:45:00,99.03,99.23,99.61,1071,517
2026-07-06T06:00:00,99.36,99.57,99.78,1056,469
2026-07-06T06:15:00,99.1,99.77,99.53,1012,444
2026-07-06T06:30:00,99.63,99.81,99.43,1079,538
2026-07-06T06:45:00,98.95,99.3,99.64,1148,572
2026-07-06T07:00:00,99.35,99.68,98.99,1218,619
2026-07-06T07:15:00,98.74,99.64,99.63,1219,556
2026-07-06T07:30:00,99.43,99.72,99.86,1356,707
2026-07-06T07:45:00,99.1,99.55,99.53,1381,664
2026-07-06T08:00:00,99.43,99.71,99.4,1427,697
2026-07-06T08:15:00,99.45,99.86,99.17,1500,730
2026-07-06T08:30:00,98.83,99.58,99.33,1704,944
2026-07-06T08:45:00,99.07,100.0,99.02,1747,860
2026-07-06T09:00:00,99.06,99.79,99.67,1856,955
2026-07-06T09:15:00,99.66,100.0,99.64,1365,296
2026-07-06T09:30:00,99.1,99.7,98.75,1104,335
2026-07-06T09:45:00,98.9,99.17,99.15,975,363
2026-07-06T10:00:00,98.67,99.58,99.82,1596,1200
2026-07-06T10:15:00,98.94,99.79,98.16,2157,1409
2026-07-06T10:30:00,98.78,99.73,98.95,2561,1480
2026-07-06T10:45:00,99.16,99.74,98.42,2883,1540
2026-07-06T11:00:00,99.39,99.8,98.43,2968,1465
2026-07-06T11:15:00,98.72,99.36,98.77,2868,1254
2026-07-06T11:30:00,99.07,99.75,98.94,3479,2040
2026-07-06T11:45:00,99.15,99.7,98.67,3488,1656
2026-07-06T12:00:00,98.94,99.65,98.15,3569,1692
2026-07-06T12:15:00,98.79,99.62,98.96,3680,1824
2026-07-06T12:30:00,99.18,99.61,98.43,3953,2063
2026-07-06T12:45:00,99.21,99.75,98.41,4429,2399
2026-07-06T13:00:00,98.76,99.48,98.25,4278,1931
2026-07-06T13:15:00,99.16,99.69,98.18,4166,1905
2026-07-06T13:30:00,99.12,99.69,59.79,3859,2610
2026-07-06T13:45:00,98.63,99.48,58.4,3401,2111
2026-07-06T14:00:00,99.2,99.79,99.39,4085,2380
