07/06 08:15:34.269: [nssf] WARNING: No matching NSI for S-NSSAI[SST:1 SD:0x000001], default applied (../src/nssf/nnssf-handler.c:77)
07/06 08:36:35.953: [nssf] WARNING: No matching NSI for S-NSSAI[SST:1 SD:0x000001], default applied (../src/nssf/nnssf-handler.c:77)
07/06 08:57:01.973: [nssf] WARNING: No matching NSI for S-NSSAI[SST:1 SD:0x000001], default applied (../src/nssf/nnssf-handler.c:77)
07/06 09:10:58.733: [nssf] WARNING: No matching NSI for S-NSSAI[SST:1 SD:0x000001], default applied (../src/nssf/nnssf-handler.c:77)
07/06 09:26:14.855: [nssf] WARNING: No matching NSI for S-NSSAI[SST:1 SD:0x000001], default applied (../src/nssf/nnssf-handler.c:77)
07/06 09:41:26.266: [nssf] WARNING: No matching NSI for S-NSSAI[SST:1 SD:0x000001], default applied (../src/nssf/nnssf-handler.c:77)
07/06 09:54:05.664: [nssf] WARNING: No matching NSI for S-NSSAI[SST:1 SD:0x000001], default applied (../src/nssf/nnssf-handler.c:77)
07/06 10:13:52.090: [nssf] WARNING: No matching NSI for S-NSSAI[SST:1 SD:0x000001], default applied (../src/nssf/nnssf-handler.c:77)
07/06 10:22:02.882: [nssf] WARNING: No matching NSI for S-NSSAI[SST:1 SD:0x000001], default applied (../src/nssf/nnssf-handler.c:77)
07/06 10:30:04.396: [nssf] WARNING: No matching NSI for S-NSSAI[SST:1 SD:0x000001], default applied (../src/nssf/nnssf-handler.c:77)
07/06 10:55:44.672: [nssf] WARNING: No matching NSI for S-NSSAI[SST:1 SD:0x000001], default applied (../src/nssf/nnssf-handler.c:77)
07/06 11:08:19.455: [nssf] WARNING: No matching NSI for S-NSSAI[SST:1 SD:0x000001], default applied (../src/nssf/nnssf-handler.c:77)
07/06 11:27:55.217: [nssf] WARNING: No matching NSI for S-NSSAI[SST:1 SD:0x000001], default applied (../src/nssf/nnssf-handler.c:77)
07/06 11:38:16.051: [nssf] WARNING: No matching NSI for S-NSSAI[SST:1 SD:0x000001], default applied (../src/nssf/nnssf-handler.c:77)
07/06 11:55:32.046: [nssf] WARNING: No matching NSI for S-NSSAI[SST:1 SD:0x000001], default applied (../src/nssf/nnssf-handler.c:77)
07/06 12:08:40.461: [nssf] WARNING: No matching NSI for S-NSSAI[SST:1 SD:0x000001], default applied (../src/nssf/nnssf-handler.c:77)
07/06 12:28:35.032: [nssf] WARNING: No matching NSI for S-NSSAI[SST:1 SD:0x000001], default applied (../src/nssf/nnssf-handler.c:77)
07/06 12:30:58.898: [nssf] WARNING: No matching NSI for S-NSSAI[SST:1 SD:0x000001], default applied (../src/nssf/nnssf-handler.c:77)
07/06 12:48:31.715: [nssf] WARNING: No matching NSI for S-NSSAI[SST:1 SD:0x000001], default applied (../src/nssf/nnssf-handler.c:77)
07/06 13:03:34.269: [nssf] WARNING: No matching NSI for S-NSSAI[SST:1 SD:0x000001], default applied (../src/nssf/nnssf-handler.c:77)
07/06 13:17:18.477: [nssf] WARNING: No matching NSI for S-NSSAI[SST:1 SD:0x000001], default applied (../src/nssf/nnssf-handler.c:77)
07/06 13:37:18.136: [nssf] WARNING: No matching NSI for S-NSSAI[SST:1 SD:0x000001], default applied (../src/nssf/nnssf-handler.c:77)
07/06 13:45:28.637: [nssf] WARNING: No matching NSI for S-NSSAI[SST:1 SD:0x000001], default applied (../src/nssf/nnssf-handler.c:77)
07/06 14:06:48.919: [nssf] WARNING: No matching NSI for S-NSSAI[SST:1 SD:0x000001], default applied (../src/nssf/nnssf-handler.c:77)
07/06 14:15:14.529: [nssf] WARNING: No matching NSI for S-NSSAI[SST:1 SD:0x000001], default applied (../src/nssf/nnssf-handler.c:77)
07/06 14:32:23.852: [nssf] WARNING: No matching NSI for S-NSSAI[SST:1 SD:0x000001], default applied (../src/nssf/nnssf-handler.c:77)
07/06 14:51:24.868: [nssf] WARNING: No matching NSI for S-NSSAI[SST:1 SD:0x000001], default applied (../src/nssf/nnssf-handler.c:77)
07/06 15:11:15.248: [nssf] WARNING: No matching NSI for S-NSSAI[SST:1 SD:0x000001], default applied (../src/nssf/nnssf-handler.c:77)
07/06 15:25:38.416: [nssf] WARNING: No matching NSI for S-NSSAI[SST:1 SD:0x000001], default applied (../src/nssf/nnssf-handler.c:77)
07/06 15:31:46.394: [nssf] WARNING: No matching NSI for S-NSSAI[SST:1 SD:0x000001], default applied (../src/nssf/nnssf-handler.c:77)
07/06 15:46:17.809: [nssf] WARNING: No matching NSI for S-NSSAI[SST:1 SD:0x000001], default applied (../src/nssf/nnssf-handler.c:77)
