rop_start,SIP_RegisterAtt,SIP_RegisterSucc,SIP_InviteAtt,SIP_InviteAnswered,SIP_InviteNetworkFail,SIP_CallDropped,IMS_ActiveRegistrations,IMS_ActiveCalls,RTP_MosAvg
2026-07-06T00:00:00,451,449,141,121,1,0,3507,60,4.28
2026-07-06T00:15:00,419,415,151,129,2,0,3487,88,4.46
2026-07-06T00:30:00,382,382,139,123,3,2,3443,96,4.35
2026-07-06T00:45:00,500,498,144,124,5,1,3496,100,4.3
2026-07-06T01:00:00,419,418,130,109,3,0,3479,94,4.35
2026-07-06T01:15:00,374,373,130,111,2,0,3428,93,4.37
2026-07-06T01:30:00,427,425,110,99,0,0,3424,86,4.39
2026-07-06T01:45:00,398,395,110,88,1,0,3397,78,4.47
2026-07-06T02:00:00,382,380,105,91,4,0,3360,76,4.5
2026-07-06T02:15:00,450,447,92,76,2,1,3380,68,4.24
2026-07-06T02:30:00,448,445,90,73,5,0,3397,64,4.34
2026-07-06T02:45:00,372,368,73,61,1,0,3350,56,4.39
2026-07-06T03:00:00,371,369,92,76,5,1,3309,60,4.29
2026-07-06T03:15:00,379,376,99,82,3,2,3278,65,4.29
2026-07-06T03:30:00,345,342,86,71,4,0,3223,61,4.31
2026-07-06T03:45:00,434,434,84,70,3,1,3246,59,4.33
2026-07-06T04:00:00,364,362,95,75,2,2,3210,61,4.5
2026-07-06T04:15:00,363,360,96,77,1,1,3176,63,4.32
2026-07-06T04:30:00,393,391,95,80,3,0,3170,65,4.42
2026-07-06T04:45:00,459,454,75,66,0,0,3215,59,4.5
2026-07-06T05:00:00,380,378,84,70,2,0,3194,58,4.31
2026-07-06T05:15:00,461,459,69,60,1,0,3241,53,4.46
2026-07-06T05:30:00,415,411,102,80,3,2,3244,61,4.39
2026-07-06T05:45:00,430,426,91,81,1,0,3259,65,4.41
2026-07-06T06:00:00,435,432,92,78,4,2,3278,65,4.35
2026-07-06T06:15:00,462,459,95,88,2,0,3316,70,4.29
2026-07-06T06:30:00,416,414,87,74,2,0,3314,65,4.37
2026-07-06T06:45:00,433,428,110,90,3,1,3324,71,4.29
2026-07-06T07:00:00,419,417,144,117,2,1,3323,86,4.3
2026-07-06T07:15:00,473,471,126,110,1,1,3366,89,4.46
2026-07-06T07:30:00,466,462,127,106,2,2,3398,88,4.26
2026-07-06T07:45:00,517,513,129,105,4,0,3467,88,4.2
2026-07-06T08:00:00,446,443,183,153,6,2,3473,111,4.35
2026-07-06T08:15:00,477,472,178,147,5,2,3502,118,4.32
2026-07-06T08:30:00,456,453,208,168,7,0,3513,131,4.29
2026-07-06T08:45:00,390,388,233,191,6,4,3471,148,4.39
2026-07-06T09:00:00,497,497,228,191,6,1,3520,154,4.39
2026-07-06T09:15:00,232,232,94,77,3,0,3353,100,4.37
2026-07-06T09:30:00,228,228,107,90,1,1,3199,85,4.32
