rop_start,registration_sr_pct,call_setup_sr_pct,answer_seizure_ratio_pct,call_drop_rate_pct,mos_avg,active_registrations,active_calls
2026-07-06T00:00:00,99.56,99.29,85.82,0.0,4.28,3507,60
2026-07-06T00:15:00,99.05,98.68,85.43,0.0,4.46,3487,88
2026-07-06T00:30:00,100.0,97.84,88.49,1.63,4.35,3443,96
2026-07-06T00:45:00,99.6,96.53,86.11,0.81,4.3,3496,100
2026-07-06T01:00:00,99.76,97.69,83.85,0.0,4.35,3479,94
2026-07-06T01:15:00,99.73,98.46,85.38,0.0,4.37,3428,93
2026-07-06T01:30:00,99.53,100.0,90.0,0.0,4.39,3424,86
2026-07-06T01:45:00,99.25,99.09,80.0,0.0,4.47,3397,78
2026-07-06T02:00:00,99.48,96.19,86.67,0.0,4.5,3360,76
2026-07-06T02:15:00,99.33,97.83,82.61,1.32,4.24,3380,68
2026-07-06T02:30:00,99.33,94.44,81.11,0.0,4.34,3397,64
2026-07-06T02:45:00,98.92,98.63,83.56,0.0,4.39,3350,56
2026-07-06T03:00:00,99.46,94.57,82.61,1.32,4.29,3309,60
2026-07-06T03:15:00,99.21,96.97,82.83,2.44,4.29,3278,65
2026-07-06T03:30:00,99.13,95.35,82.56,0.0,4.31,3223,61
2026-07-06T03:45:00,100.0,96.43,83.33,1.43,4.33,3246,59
2026-07-06T04:00:00,99.45,97.89,78.95,2.67,4.5,3210,61
2026-07-06T04:15:00,99.17,98.96,80.21,1.3,4.32,3176,63
2026-07-06T04:30:00,99.49,96.84,84.21,0.0,4.42,3170,65
2026-07-06T04:45:00,98.91,100.0,88.0,0.0,4.5,3215,59
2026-07-06T05:00:00,99.47,97.62,83.33,0.0,4.31,3194,58
2026-07-06T05:15:00,99.57,98.55,86.96,0.0,4.46,3241,53
2026-07-06T05:30:00,99.04,97.06,78.43,2.5,4.39,3244,61
2026-07-06T05:45:00,99.07,98.9,89.01,0.0,4.41,3259,65
2026-07-06T06:00:00,99.31,95.65,84.78,2.56,4.35,3278,65
2026-07-06T06:15:00,99.35,97.89,92.63,0.0,4.29,3316,70
2026-07-06T06:30:00,99.52,97.7,85.06,0.0,4.37,3314,65
2026-07-06T06:45:00,98.85,97.27,81.82,1.11,4.29,3324,71
2026-07-06T07:00:00,99.52,98.61,81.25,0.85,4.3,3323,86
2026-07-06T07:15:00,99.58,99.21,87.3,0.91,4.46,3366,89
2026-07-06T07:30:00,99.14,98.43,83.46,1.89,4.26,3398,88
2026-07-06T07:45:00,99.23,96.9,81.4,0.0,4.2,3467,88
2026-07-06T08:00:00,99.33,96.72,83.61,1.31,4.35,3473,111
2026-07-06T08:15:00,98.95,97.19,82.58,1.36,4.32,3502,118
2026-07-06T08:30:00,99.34,96.63,80.77,0.0,4.29,3513,131
2026-07-06T08:45:00,99.49,97.42,81.97,2.09,4.39,3471,148
2026-07-06T09:00:00,100.0,97.37,83.77,0.52,4.39,3520,154
2026-07-06T09:15:00,100.0,96.81,81.91,0.0,4.37,3353,100
2026-07-06T09:30:00,100.0,99.07,84.11,1.11,4.32,3199,85
2026-07-06T09:45:00,98.99,98.46,85.38,0.0,4.44,3113,89
2026-07-06T10:00:00,99.32,98.7,85.22,1.02,4.43,3268,133
2026-07-06T10:15:00,99.16,96.83,85.92,0.0,4.28,3409,175
2026-07-06T10:30:00,99.5,97.78,84.13,1.13,4.39,3542,202
