rop_start,gnb_id,cell_id,profile,RRC_ConnEstabAtt,RRC_ConnEstabSucc,PDU_SesEstabAtt,PDU_SesEstabSucc,MM_HoExeAtt,MM_HoExeSucc,DRB_RelActNbr,DRB_RelActAbnormal,RRU_PrbTotDlUsedPct,DRB_UEThpDl_Mbps,DRB_UEThpUl_Mbps,RRC_ConnMean,Cell_UnavailSecs
2026-07-06T00:00:00,gNB-001,NRCell-001,urban,115,115,112,111,30,30,111,0,27.4,255.6,33.9,19.7,0
2026-07-06T00:00:00,gNB-001,NRCell-002,suburban,62,61,58,58,23,22,58,0,29.9,282.0,45.6,16.3,0
2026-07-06T00:00:00,gNB-001,NRCell-003,rural,37,37,35,35,14,14,35,1,38.3,271.7,30.3,9.0,0
2026-07-06T00:00:00,gNB-002,NRCell-004,urban,121,121,119,119,32,29,119,1,29.1,253.9,29.4,28.3,0
2026-07-06T00:00:00,gNB-002,NRCell-005,rural,29,28,26,26,11,10,26,0,42.9,229.0,40.3,6.5,0
2026-07-06T00:00:00,gNB-002,NRCell-006,degraded,78,70,67,65,25,24,65,12,27.0,141.3,12.0,15.0,0
2026-07-06T00:15:00,gNB-001,NRCell-001,urban,108,108,104,103,43,42,103,0,28.5,251.7,39.8,21.1,0
2026-07-06T00:15:00,gNB-001,NRCell-002,suburban,65,65,64,64,22,20,64,0,30.2,287.9,40.9,16.3,0
2026-07-06T00:15:00,gNB-001,NRCell-003,rural,38,37,36,35,14,14,35,0,42.0,249.1,41.0,7.2,0
2026-07-06T00:15:00,gNB-002,NRCell-004,urban,113,112,110,110,33,31,110,2,29.6,277.1,41.7,29.1,0
2026-07-06T00:15:00,gNB-002,NRCell-005,rural,26,26,25,25,8,8,25,0,38.1,247.6,42.9,5.9,0
2026-07-06T00:15:00,gNB-002,NRCell-006,degraded,79,76,72,68,23,20,68,8,29.6,143.6,8.6,12.4,0
2026-07-06T00:30:00,gNB-001,NRCell-001,urban,125,125,120,120,38,38,120,1,25.7,283.9,36.4,26.6,0
2026-07-06T00:30:00,gNB-001,NRCell-002,suburban,76,75,72,71,28,28,71,0,31.1,263.8,30.0,13.6,0
2026-07-06T00:30:00,gNB-001,NRCell-003,rural,35,35,34,34,12,12,34,0,38.9,272.3,44.5,7.1,0
2026-07-06T00:30:00,gNB-002,NRCell-004,urban,108,106,101,100,44,42,100,2,29.5,294.2,40.0,20.3,0
2026-07-06T00:30:00,gNB-002,NRCell-005,rural,25,24,22,22,9,8,22,0,36.4,265.3,32.3,4.9,0
2026-07-06T00:30:00,gNB-002,NRCell-006,degraded,59,54,51,46,14,14,46,3,29.0,147.4,7.8,10.7,0
2026-07-06T00:45:00,gNB-001,NRCell-001,urban,108,108,107,107,39,38,107,2,27.3,295.9,44.2,27.6,0
2026-07-06T00:45:00,gNB-001,NRCell-002,suburban,81,81,78,78,35,35,78,0,31.3,265.5,45.7,14.7,0
2026-07-06T00:45:00,gNB-001,NRCell-003,rural,39,39,38,38,16,16,38,0,36.7,268.3,41.6,5.9,0
2026-07-06T00:45:00,gNB-002,NRCell-004,urban,125,125,122,120,51,50,120,1,27.5,251.5,28.6,21.9,0
2026-07-06T00:45:00,gNB-002,NRCell-005,rural,26,26,25,24,7,7,24,0,36.1,234.0,26.2,7.0,0
2026-07-06T00:45:00,gNB-002,NRCell-006,degraded,67,65,63,57,28,26,57,1,29.6,147.7,9.1,13.9,0
2026-07-06T01:00:00,gNB-001,NRCell-001,urban,102,102,98,95,27,26,95,1,26.8,280.5,34.9,18.0,0
