rop_start,gnb_id,cell_id,rrc_setup_sr_pct,pdu_session_estab_sr_pct,ho_success_rate_pct,session_drop_rate_pct,dl_user_thp_mbps,ul_user_thp_mbps,prb_util_dl_pct,avg_connected_ues,cell_availability_pct
2026-07-06T00:00:00,gNB-001,NRCell-001,100.0,99.11,100.0,0.0,255.6,33.9,27.4,19.7,100.0
2026-07-06T00:00:00,gNB-001,NRCell-002,98.39,100.0,95.65,0.0,282.0,45.6,29.9,16.3,100.0
2026-07-06T00:00:00,gNB-001,NRCell-003,100.0,100.0,100.0,2.86,271.7,30.3,38.3,9.0,100.0
2026-07-06T00:00:00,gNB-002,NRCell-004,100.0,100.0,90.62,0.84,253.9,29.4,29.1,28.3,100.0
2026-07-06T00:00:00,gNB-002,NRCell-005,96.55,100.0,90.91,0.0,229.0,40.3,42.9,6.5,100.0
2026-07-06T00:00:00,gNB-002,NRCell-006,89.74,97.01,96.0,18.46,141.3,12.0,27.0,15.0,100.0
2026-07-06T00:15:00,gNB-001,NRCell-001,100.0,99.04,97.67,0.0,251.7,39.8,28.5,21.1,100.0
2026-07-06T00:15:00,gNB-001,NRCell-002,100.0,100.0,90.91,0.0,287.9,40.9,30.2,16.3,100.0
2026-07-06T00:15:00,gNB-001,NRCell-003,97.37,97.22,100.0,0.0,249.1,41.0,42.0,7.2,100.0
2026-07-06T00:15:00,gNB-002,NRCell-004,99.12,100.0,93.94,1.82,277.1,41.7,29.6,29.1,100.0
2026-07-06T00:15:00,gNB-002,NRCell-005,100.0,100.0,100.0,0.0,247.6,42.9,38.1,5.9,100.0
2026-07-06T00:15:00,gNB-002,NRCell-006,96.2,94.44,86.96,11.76,143.6,8.6,29.6,12.4,100.0
2026-07-06T00:30:00,gNB-001,NRCell-001,100.0,100.0,100.0,0.83,283.9,36.4,25.7,26.6,100.0
2026-07-06T00:30:00,gNB-001,NRCell-002,98.68,98.61,100.0,0.0,263.8,30.0,31.1,13.6,100.0
2026-07-06T00:30:00,gNB-001,NRCell-003,100.0,100.0,100.0,0.0,272.3,44.5,38.9,7.1,100.0
2026-07-06T00:30:00,gNB-002,NRCell-004,98.15,99.01,95.45,2.0,294.2,40.0,29.5,20.3,100.0
2026-07-06T00:30:00,gNB-002,NRCell-005,96.0,100.0,88.89,0.0,265.3,32.3,36.4,4.9,100.0
2026-07-06T00:30:00,gNB-002,NRCell-006,91.53,90.2,100.0,6.52,147.4,7.8,29.0,10.7,100.0
2026-07-06T00:45:00,gNB-001,NRCell-001,100.0,100.0,97.44,1.87,295.9,44.2,27.3,27.6,100.0
2026-07-06T00:45:00,gNB-001,NRCell-002,100.0,100.0,100.0,0.0,265.5,45.7,31.3,14.7,100.0
2026-07-06T00:45:00,gNB-001,NRCell-003,100.0,100.0,100.0,0.0,268.3,41.6,36.7,5.9,100.0
2026-07-06T00:45:00,gNB-002,NRCell-004,100.0,98.36,98.04,0.83,251.5,28.6,27.5,21.9,100.0
2026-07-06T00:45:00,gNB-002,NRCell-005,100.0,96.0,100.0,0.0,234.0,26.2,36.1,7.0,100.0
2026-07-06T00:45:00,gNB-002,NRCell-006,97.01,90.48,92.86,1.75,147.7,9.1,29.6,13.9,100.0
2026-07-06T01:00:00,gNB-001,NRCell-001,100.0,96.94,96.3,1.05,280.5,34.9,26.8,18.0,100.0
2026-07-06T01:00:00,gNB-001,NRCell-002,98.51,96.83,100.0,0.0,283.2,45.3,29.1,16.0,100.0
2026-07-06T01:00:00,gNB-001,NRCell-003,100.0,100.0,100.0,3.45,265.7,43.1,36.2,6.6,100.0
2026-07-06T01:00:00,gNB-002,NRCell-004,99.15,100.0,100.0,0.0,274.4,42.7,27.7,18.3,100.0
2026-07-06T01:00:00,gNB-002,NRCell-005,100.0,100.0,100.0,0.0,219.9,29.4,42.3,4.2,100.0
2026-07-06T01:00:00,gNB-002,NRCell-006,94.12,96.77,88.0,10.0,148.1,9.4,27.2,13.9,100.0
2026-07-06T01:15:00,gNB-001,NRCell-001,98.29,98.2,100.0,0.0,259.0,28.4,28.7,19.3,100.0
2026-07-06T01:15:00,gNB-001,NRCell-002,98.28,100.0,100.0,1.85,294.9,32.0,29.5,12.4,100.0
2026-07-06T01:15:00,gNB-001,NRCell-003,96.97,100.0,100.0,0.0,232.8,36.7,38.6,5.3,100.0
2026-07-06T01:15:00,gNB-002,NRCell-004,97.48,97.39,97.73,1.79,256.5,33.7,29.3,29.7,100.0
2026-07-06T01:15:00,gNB-002,NRCell-005,100.0,100.0,100.0,0.0,220.1,30.1,41.9,3.8,100.0
2026-07-06T01:15:00,gNB-002,NRCell-006,95.71,95.38,90.0,6.45,124.3,7.0,30.1,12.8,100.0
2026-07-06T01:30:00,gNB-001,NRCell-001,100.0,100.0,100.0,0.0,283.7,46.6,26.2,23.7,100.0
2026-07-06T01:30:00,gNB-001,NRCell-002,100.0,98.61,92.86,0.0,276.9,29.0,32.6,13.2,100.0
2026-07-06T01:30:00,gNB-001,NRCell-003,96.55,100.0,91.67,3.85,248.3,25.2,41.1,7.7,100.0
2026-07-06T01:30:00,gNB-002,NRCell-004,99.15,100.0,100.0,0.0,300.4,48.3,26.1,29.2,100.0
2026-07-06T01:30:00,gNB-002,NRCell-005,96.3,96.0,100.0,4.17,239.0,34.3,40.8,5.0,100.0
2026-07-06T01:30:00,gNB-002,NRCell-006,95.38,93.33,100.0,7.14,130.9,9.2,26.4,15.5,100.0
2026-07-06T01:45:00,gNB-001,NRCell-001,99.18,100.0,94.34,0.0,300.4,46.6,28.3,22.6,100.0
2026-07-06T01:45:00,gNB-001,NRCell-002,98.53,98.48,96.43,0.0,262.2,37.1,29.4,15.4,100.0
2026-07-06T01:45:00,gNB-001,NRCell-003,100.0,100.0,100.0,2.78,253.4,30.8,41.1,7.0,100.0
2026-07-06T01:45:00,gNB-002,NRCell-004,100.0,100.0,100.0,0.0,282.3,30.2,27.1,26.2,100.0
2026-07-06T01:45:00,gNB-002,NRCell-005,100.0,100.0,100.0,0.0,248.4,26.7,39.0,6.9,100.0
2026-07-06T01:45:00,gNB-002,NRCell-006,97.26,98.53,94.74,10.45,149.1,10.8,28.5,10.8,100.0
2026-07-06T02:00:00,gNB-001,NRCell-001,98.72,100.0,100.0,0.0,286.1,37.3,29.1,16.4,100.0
2026-07-06T02:00:00,gNB-001,NRCell-002,98.8,98.72,94.29,1.3,268.3,39.8,32.3,12.3,100.0
2026-07-06T02:00:00,gNB-001,NRCell-003,100.0,100.0,92.31,0.0,258.4,31.4,43.8,6.6,100.0
2026-07-06T02:00:00,gNB-002,NRCell-004,99.12,99.07,100.0,0.0,294.2,30.8,28.6,24.0,100.0
2026-07-06T02:00:00,gNB-002,NRCell-005,100.0,100.0,100.0,0.0,251.9,45.0,37.7,5.1,100.0
2026-07-06T02:00:00,gNB-002,NRCell-006,95.83,92.54,90.0,3.23,124.4,9.2,29.1,13.0,100.0
2026-07-06T02:15:00,gNB-001,NRCell-001,99.06,100.0,97.56,1.92,255.1,38.6,29.2,17.2,100.0
2026-07-06T02:15:00,gNB-001,NRCell-002,100.0,98.61,100.0,0.0,256.0,27.5,30.1,14.6,100.0
2026-07-06T02:15:00,gNB-001,NRCell-003,100.0,100.0,100.0,0.0,238.2,31.8,41.4,7.6,100.0
2026-07-06T02:15:00,gNB-002,NRCell-004,99.25,100.0,98.21,0.77,260.5,46.4,30.1,24.2,100.0
2026-07-06T02:15:00,gNB-002,NRCell-005,100.0,100.0,88.89,0.0,230.4,32.5,42.2,6.1,100.0
2026-07-06T02:15:00,gNB-002,NRCell-006,90.91,95.52,94.74,10.94,137.0,10.0,29.9,15.6,100.0
2026-07-06T02:30:00,gNB-001,NRCell-001,98.97,100.0,97.62,1.09,298.6,50.0,26.2,23.4,100.0
2026-07-06T02:30:00,gNB-001,NRCell-002,100.0,100.0,95.65,1.56,259.9,27.9,35.0,15.5,100.0
2026-07-06T02:30:00,gNB-001,NRCell-003,97.14,100.0,100.0,0.0,233.1,26.1,36.3,7.2,100.0
2026-07-06T02:30:00,gNB-002,NRCell-004,99.22,98.39,97.87,0.0,260.1,33.9,26.1,30.6,100.0
2026-07-06T02:30:00,gNB-002,NRCell-005,100.0,100.0,100.0,0.0,275.9,43.9,37.4,4.5,100.0
2026-07-06T02:30:00,gNB-002,NRCell-006,93.15,89.39,95.65,15.25,135.1,12.0,28.4,11.6,100.0
2026-07-06T02:45:00,gNB-001,NRCell-001,99.15,100.0,100.0,1.77,293.2,49.5,28.2,24.1,100.0
2026-07-06T02:45:00,gNB-001,NRCell-002,100.0,97.44,96.88,0.0,252.8,26.7,30.4,18.1,100.0
2026-07-06T02:45:00,gNB-001,NRCell-003,97.22,100.0,100.0,2.94,229.7,26.6,41.8,6.1,100.0
2026-07-06T02:45:00,gNB-002,NRCell-004,98.31,100.0,97.56,0.88,294.6,44.2,26.4,21.9,100.0
2026-07-06T02:45:00,gNB-002,NRCell-005,100.0,100.0,90.0,0.0,241.0,40.8,36.6,4.9,100.0
2026-07-06T02:45:00,gNB-002,NRCell-006,95.52,95.16,95.24,10.17,135.9,12.2,29.3,15.0,100.0
2026-07-06T03:00:00,gNB-001,NRCell-001,99.07,100.0,100.0,0.98,275.9,42.8,27.4,18.4,100.0
2026-07-06T03:00:00,gNB-001,NRCell-002,98.68,100.0,100.0,0.0,247.1,26.2,34.4,15.8,100.0
2026-07-06T03:00:00,gNB-001,NRCell-003,100.0,100.0,100.0,0.0,238.4,28.9,44.2,9.4,100.0
2026-07-06T03:00:00,gNB-002,NRCell-004,99.29,99.28,97.67,0.73,270.1,45.8,29.8,32.2,100.0
2026-07-06T03:00:00,gNB-002,NRCell-005,92.31,100.0,100.0,0.0,238.5,35.1,39.4,5.2,100.0
2026-07-06T03:00:00,gNB-002,NRCell-006,93.67,92.96,93.75,0.0,264.1,46.4,27.6,18.5,100.0
2026-07-06T03:15:00,gNB-001,NRCell-001,99.18,100.0,93.55,1.67,273.5,45.0,28.5,21.5,100.0
2026-07-06T03:15:00,gNB-001,NRCell-002,98.68,98.63,100.0,0.0,261.1,39.0,29.9,14.1,100.0
2026-07-06T03:15:00,gNB-001,NRCell-003,100.0,100.0,100.0,0.0,248.7,30.3,40.4,6.5,100.0
2026-07-06T03:15:00,gNB-002,NRCell-004,97.84,100.0,100.0,0.0,286.2,36.7,29.4,30.7,100.0
2026-07-06T03:15:00,gNB-002,NRCell-005,100.0,100.0,100.0,0.0,270.5,47.4,36.8,4.2,100.0
2026-07-06T03:15:00,gNB-002,NRCell-006,94.29,98.41,95.45,3.23,247.9,38.0,30.4,15.4,100.0
2026-07-06T03:30:00,gNB-001,NRCell-001,99.15,100.0,96.08,0.0,289.4,43.3,29.0,17.0,100.0
2026-07-06T03:30:00,gNB-001,NRCell-002,100.0,100.0,100.0,0.0,256.8,36.8,32.4,11.3,100.0
2026-07-06T03:30:00,gNB-001,NRCell-003,100.0,100.0,100.0,0.0,235.1,36.7,37.5,6.8,100.0
2026-07-06T03:30:00,gNB-002,NRCell-004,97.89,97.76,100.0,0.0,250.1,26.2,28.5,27.9,100.0
2026-07-06T03:30:00,gNB-002,NRCell-005,100.0,100.0,88.89,4.0,247.9,42.4,41.2,6.1,100.0
2026-07-06T03:30:00,gNB-002,NRCell-006,97.22,100.0,100.0,0.0,251.6,30.6,27.6,14.0,100.0
2026-07-06T03:45:00,gNB-001,NRCell-001,98.98,100.0,100.0,0.0,282.7,34.4,31.5,22.4,100.0
2026-07-06T03:45:00,gNB-001,NRCell-002,97.53,100.0,95.0,0.0,266.6,41.4,32.8,19.6,100.0
2026-07-06T03:45:00,gNB-001,NRCell-003,97.14,96.97,100.0,0.0,252.1,30.9,40.5,7.4,100.0
2026-07-06T03:45:00,gNB-002,NRCell-004,99.18,99.14,97.67,0.87,260.1,44.8,27.5,25.4,100.0
2026-07-06T03:45:00,gNB-002,NRCell-005,96.0,100.0,100.0,0.0,273.0,39.0,37.7,4.3,100.0
2026-07-06T03:45:00,gNB-002,NRCell-006,94.81,97.14,95.65,1.47,255.8,27.4,31.4,10.7,100.0
2026-07-06T04:00:00,gNB-001,NRCell-001,100.0,100.0,93.94,0.0,269.5,46.2,30.6,22.1,100.0
